monster_1,monster_2,win_pct_1,win_pct_2,underdog_pct
"Werewolf, Hybrid Form","Werewolf, Wolf Form",53.8,46.2,46.2
Ape,Crocodile,53.9,46.1,46.1
Bandit Captain,Mummy,53.9,46.1,46.1
Basilisk,Griffon,53.9,46.1,46.1
Commoner,Vulture,46.1,53.9,46.1
Constrictor Snake,Dust Mephit,53.9,46.1,46.1
Deep Gnome (Svirfneblin),Giant Owl,53.9,46.1,46.1
Giant Crab,Magmin,53.9,46.1,46.1
Giant Owl,Swarm of Ravens,46.1,53.9,46.1
Giant Shark,Treant,53.9,46.1,46.1
Gibbering Mouther,"Weretiger, Human Form",53.9,46.1,46.1
Gold Dragon Wyrmling,"Weretiger, Tiger Form",46.1,53.9,46.1
Green Dragon Wyrmling,Mimic,46.1,53.9,46.1
Half-Red Dragon Veteran,Silver Dragon Wyrmling,53.9,46.1,46.1
Half-Red Dragon Veteran,Vampire Spawn,46.1,53.9,46.1
Hippogriff,Rust Monster,53.9,46.1,46.1
Imp,Skeleton,46.1,53.9,46.1
Roper,Young Bronze Dragon,53.9,46.1,46.1
Shambling Mound,Shield Guardian,46.1,53.9,46.1
Aboleth,Hezrou,54.0,46.0,46.0
Animated Armor,"Werewolf, Hybrid Form",46.0,54.0,46.0
Berserker,Ghost,54.0,46.0,46.0
Bone Devil,Shield Guardian,54.0,46.0,46.0
Darkmantle,Ghoul,46.0,54.0,46.0
Drider,"Wereboar, Human Form",46.0,54.0,46.0
Giant Bat,Giant Goat,46.0,54.0,46.0
Giant Boar,Merrow,54.0,46.0,46.0
Giant Spider,Grick,46.0,54.0,46.0
Giant Spider,Phase Spider,54.0,46.0,46.0
Giant Spider,Warhorse Skeleton,46.0,54.0,46.0
Giant Wolf Spider,Noble,46.0,54.0,46.0
Gibbering Mouther,Silver Dragon Wyrmling,46.0,54.0,46.0
Gynosphinx,Young Green Dragon,46.0,54.0,46.0
Hill Giant,Shield Guardian,54.0,46.0,46.0
Medusa,Ogre,46.0,54.0,46.0
Roc,Storm Giant,46.0,54.0,46.0
Ancient Green Dragon,Dragon Turtle,54.1,45.9,45.9
Azer,Ghast,54.1,45.9,45.9
Bearded Devil,Giant Scorpion,45.9,54.1,45.9
Constrictor Snake,Elk,54.1,45.9,45.9
Cultist,Steam Mephit,54.1,45.9,45.9
Drow,Scout,54.1,45.9,45.9
Flying Sword,Thug,45.9,54.1,45.9
Ghoul,Swarm of Spiders,45.9,54.1,45.9
Giant Rat,Mule,54.1,45.9,45.9
Giant Rat (Diseased),Quasit,45.9,54.1,45.9
Lizardfolk,"Wererat, Hybrid Form",45.9,54.1,45.9
Pegasus,Vampire Spawn,54.1,45.9,45.9
Scout,Swarm of Bats,45.9,54.1,45.9
Warhorse,Warhorse Skeleton,45.9,54.1,45.9
"Weretiger, Hybrid Form","Weretiger, Tiger Form",54.1,45.9,45.9
Air Elemental,"Vampire, Bat Form",54.2,45.8,45.8
Ankheg,Basilisk,45.8,54.2,45.8
Axe Beak,Gnoll,45.8,54.2,45.8
Axe Beak,Shadow,45.8,54.2,45.8
Blue Dragon Wyrmling,"Wereboar, Human Form",54.2,45.8,45.8
Bronze Dragon Wyrmling,Giant Boar,54.2,45.8,45.8
Copper Dragon Wyrmling,Warhorse,54.2,45.8,45.8
Deva,Water Elemental,45.8,54.2,45.8
Djinni,Erinyes,45.8,54.2,45.8
Gelatinous Cube,Veteran,54.2,45.8,45.8
Ghast,Giant Boar,54.2,45.8,45.8
Giant Owl,Thug,45.8,54.2,45.8
Gibbering Mouther,Unicorn,45.8,54.2,45.8
Grimlock,Sahuagin,45.8,54.2,45.8
Grimlock,Zombie,45.8,54.2,45.8
Half-Red Dragon Veteran,"Wereboar, Hybrid Form",54.2,45.8,45.8
Lizardfolk,Spy,45.8,54.2,45.8
Saber-Toothed Tiger,Sea Hag,54.2,45.8,45.8
Satyr,Swarm of Centipedes,54.2,45.8,45.8
Animated Armor,Tiger,54.3,45.7,45.7
Ape,"Wererat, Hybrid Form",45.7,54.3,45.7
Berserker,Gibbering Mouther,45.7,54.3,45.7
Chain Devil,Gladiator,54.3,45.7,45.7
Crocodile,Spy,54.3,45.7,45.7
Cultist,Goblin,45.7,54.3,45.7
Draft Horse,Lion,45.7,54.3,45.7
Draft Horse,Swarm of Beetles,45.7,54.3,45.7
Giant Badger,Giant Wolf Spider,54.3,45.7,45.7
Giant Bat,Orc,45.7,54.3,45.7
Giant Wolf Spider,Pony,45.7,54.3,45.7
Gynosphinx,Young Black Dragon,54.3,45.7,45.7
Harpy,Swarm of Beetles,54.3,45.7,45.7
Harpy,Swarm of Insects,54.3,45.7,45.7
Hippogriff,Thug,54.3,45.7,45.7
Knight,Winter Wolf,45.7,54.3,45.7
Marilith,Young Blue Dragon,54.3,45.7,45.7
Riding Horse,Shadow,45.7,54.3,45.7
Adult Blue Dragon,Purple Worm,54.4,45.6,45.6
Assassin,"Wereboar, Boar Form",45.6,54.4,45.6
Axe Beak,Swarm of Rats,54.4,45.6,45.6
Flying Sword,Hippogriff,45.6,54.4,45.6
Ghost,Spirit Naga,45.6,54.4,45.6
Ghost,Vampire Spawn,54.4,45.6,45.6
Glabrezu,Marilith,45.6,54.4,45.6
Gladiator,Green Hag,45.6,54.4,45.6
Gold Dragon Wyrmling,Nightmare,45.6,54.4,45.6
Half-Red Dragon Veteran,Ogre,45.6,54.4,45.6
Mage,Swarm of Spiders,54.4,45.6,45.6
Mage,Swarm of Wasps,54.4,45.6,45.6
Rhinoceros,"Wereboar, Boar Form",45.6,54.4,45.6
Swarm of Poisonous Snakes,"Werewolf, Hybrid Form",45.6,54.4,45.6
Adult Bronze Dragon,Purple Worm,45.5,54.5,45.5
Ape,"Wererat, Rat Form",45.5,54.5,45.5
Assassin,Rhinoceros,54.5,45.5,45.5
Berserker,Vampire Spawn,45.5,54.5,45.5
Black Pudding,Giant Hyena,45.5,54.5,45.5
Flesh Golem,Minotaur Skeleton,54.5,45.5,45.5
Giant Bat,Gnoll,54.5,45.5,45.5
Giant Octopus,Griffon,45.5,54.5,45.5
Giant Vulture,"Wererat, Rat Form",45.5,54.5,45.5
Griffon,Saber-Toothed Tiger,45.5,54.5,45.5
Hell Hound,Mimic,54.5,45.5,45.5
Knight,Spirit Naga,54.5,45.5,45.5
"Vampire, Vampire Form","Werebear, Hybrid Form",45.5,54.5,45.5
Archmage,Doppelganger,54.6,45.4,45.4
Azer,Giant Boar,45.4,54.6,45.4
Bandit Captain,Griffon,54.6,45.4,45.4
Berserker,"Wereboar, Human Form",54.6,45.4,45.4
Black Dragon Wyrmling,Black Pudding,45.4,54.6,45.4
Drider,Ghost,45.4,54.6,45.4
Flying Sword,Rust Monster,45.4,54.6,45.4
Giant Elk,Rhinoceros,45.4,54.6,45.4
Giant Elk,Sea Hag,54.6,45.4,45.4
Knight,Unicorn,54.6,45.4,45.4
Lion,Specter,54.6,45.4,45.4
Mammoth,Young Blue Dragon,54.6,45.4,45.4
Panther,Skeleton,54.6,45.4,45.4
Pony,Skeleton,54.6,45.4,45.4
Bandit,Giant Weasel,45.3,54.7,45.3
Brass Dragon Wyrmling,Swarm of Ravens,54.7,45.3,45.3
Camel,Mule,45.3,54.7,45.3
Cockatrice,Drow,45.3,54.7,45.3
Cultist,Quasit,54.7,45.3,45.3
Deep Gnome (Svirfneblin),Giant Goat,45.3,54.7,45.3
Draft Horse,Harpy,45.3,54.7,45.3
Guardian Naga,"Vampire, Vampire Form",45.3,54.7,45.3
Hippogriff,Swarm of Insects,45.3,54.7,45.3
Manticore,Rhinoceros,45.3,54.7,45.3
Mummy,Veteran,45.3,54.7,45.3
Panther,Sahuagin,54.7,45.3,45.3
Roper,Treant,54.7,45.3,45.3
Treant,Young Bronze Dragon,54.7,45.3,45.3
Adult Brass Dragon,Adult Copper Dragon,45.2,54.8,45.2
Axe Beak,Crocodile,45.2,54.8,45.2
Azer,Bronze Dragon Wyrmling,45.2,54.8,45.2
Basilisk,Mummy,54.8,45.2,45.2
Black Pudding,Salamander,54.8,45.2,45.2
Blue Dragon Wyrmling,Ghost,54.8,45.2,45.2
Fire Elemental,Minotaur Skeleton,54.8,45.2,45.2
Giant Boar,Swarm of Quippers,54.8,45.2,45.2
Giant Constrictor Snake,"Wereboar, Boar Form",54.8,45.2,45.2
Giant Octopus,Mummy,45.2,54.8,45.2
Gladiator,Otyugh,45.2,54.8,45.2
Lamia,Minotaur,45.2,54.8,45.2
Lizardfolk,"Wererat, Rat Form",45.2,54.8,45.2
Reef Shark,Swarm of Ravens,45.2,54.8,45.2
Rust Monster,"Wererat, Human Form",45.2,54.8,45.2
Satyr,Swarm of Spiders,54.8,45.2,45.2
"Werewolf, Wolf Form",Will-o'-Wisp,45.2,54.8,45.2
Basilisk,Saber-Toothed Tiger,45.1,54.9,45.1
Black Pudding,Ghast,54.9,45.1,45.1
Couatl,Elephant,45.1,54.9,45.1
Drider,Half-Red Dragon Veteran,45.1,54.9,45.1
Green Dragon Wyrmling,Swarm of Quippers,54.9,45.1,45.1
Harpy,Specter,45.1,54.9,45.1
Nightmare,Plesiosaurus,45.1,54.9,45.1
Plesiosaurus,Red Dragon Wyrmling,54.9,45.1,45.1
Spy,"Wererat, Rat Form",54.9,45.1,45.1
Young Brass Dragon,Young Copper Dragon,45.1,54.9,45.1
Ape,Orc,45.0,55.0,45.0
Draft Horse,Swarm of Centipedes,45.0,55.0,45.0
Ettin,Wyvern,45.0,55.0,45.0
Giant Wasp,Sahuagin,55.0,45.0,45.0
Half-Red Dragon Veteran,Medusa,55.0,45.0,45.0
Half-Red Dragon Veteran,"Weretiger, Human Form",45.0,55.0,45.0
Hydra,Young Brass Dragon,55.0,45.0,45.0
Lamia,Wraith,45.0,55.0,45.0
Mummy Lord,Young Brass Dragon,55.0,45.0,45.0
Copper Dragon Wyrmling,Grick,44.9,55.1,44.9
Dretch,Giant Weasel,44.9,55.1,44.9
Giant Bat,Giant Owl,55.1,44.9,44.9
Giant Constrictor Snake,Vampire Spawn,55.1,44.9,44.9
Giant Lizard,Giant Vulture,55.1,44.9,44.9
Hyena,Mastiff,44.9,55.1,44.9
Ice Mephit,Sahuagin,44.9,55.1,44.9
Lich,Young Black Dragon,55.1,44.9,44.9
Nightmare,"Weretiger, Tiger Form",55.1,44.9,44.9
Oni,Wraith,44.9,55.1,44.9
Orc,Specter,44.9,55.1,44.9
Tiger,"Werewolf, Wolf Form",44.9,55.1,44.9
Young Black Dragon,Young Green Dragon,44.9,55.1,44.9
Ape,Giant Owl,55.2,44.8,44.8
Ape,Shadow,55.2,44.8,44.8
Ape,Spy,44.8,55.2,44.8
Awakened Tree,Nightmare,55.2,44.8,44.8
Bugbear,Giant Hyena,44.8,55.2,44.8
Chimera,Otyugh,55.2,44.8,44.8
Clay Golem,Young White Dragon,44.8,55.2,44.8
Dire Wolf,Giant Hyena,55.2,44.8,44.8
Gibbering Mouther,Veteran,55.2,44.8,44.8
Gold Dragon Wyrmling,"Weretiger, Hybrid Form",44.8,55.2,44.8
Knight,"Weretiger, Tiger Form",44.8,55.2,44.8
Lamia,Vrock,55.2,44.8,44.8
Phase Spider,Warhorse Skeleton,44.8,55.2,44.8
Saber-Toothed Tiger,Veteran,55.2,44.8,44.8
Shadow,"Wererat, Hybrid Form",55.2,44.8,44.8
Swarm of Spiders,Warhorse,55.2,44.8,44.8
Ape,Darkmantle,55.3,44.7,44.7
Berserker,Ogre,44.7,55.3,44.7
Blink Dog,Hobgoblin,44.7,55.3,44.7
Clay Golem,Lich,44.7,55.3,44.7
Deva,Elephant,55.3,44.7,44.7
Dust Mephit,Giant Poisonous Snake,44.7,55.3,44.7
Erinyes,Roper,44.7,55.3,44.7
Ghoul,Harpy,44.7,55.3,44.7
Giant Bat,Lizardfolk,55.3,44.7,44.7
Giant Bat,Spy,44.7,55.3,44.7
Giant Eagle,Satyr,55.3,44.7,44.7
Giant Eagle,Swarm of Beetles,55.3,44.7,44.7
Giant Eagle,Swarm of Insects,55.3,44.7,44.7
Manticore,Veteran,55.3,44.7,44.7
Noble,Sahuagin,44.7,55.3,44.7
Reef Shark,Thug,44.7,55.3,44.7
"Wererat, Hybrid Form","Wererat, Rat Form",55.3,44.7,44.7
Bandit Captain,Giant Elk,44.6,55.4,44.6
Berserker,Half-Red Dragon Veteran,44.6,55.4,44.6
Black Pudding,Giant Scorpion,55.4,44.6,44.6
Blue Dragon Wyrmling,"Wereboar, Boar Form",44.6,55.4,44.6
Boar,Violet Fungus,55.4,44.6,44.6
Bugbear,Mimic,44.6,55.4,44.6
Chain Devil,Otyugh,44.6,55.4,44.6
Deep Gnome (Svirfneblin),Reef Shark,55.4,44.6,44.6
Duergar,Warhorse Skeleton,44.6,55.4,44.6
Giant Eagle,Lion,55.4,44.6,44.6
Giant Goat,Hippogriff,55.4,44.6,44.6
Giant Weasel,Gray Ooze,44.6,55.4,44.6
Gibbering Mouther,Ogre Zombie,44.6,55.4,44.6
Gorgon,Stone Giant,44.6,55.4,44.6
Awakened Tree,Plesiosaurus,44.5,55.5,44.5
Axe Beak,Giant Vulture,44.5,55.5,44.5
Bandit Captain,Saber-Toothed Tiger,44.5,55.5,44.5
Behir,Cloud Giant,44.5,55.5,44.5
Deep Gnome (Svirfneblin),Shadow,55.5,44.5,44.5
Doppelganger,Giant Octopus,55.5,44.5,44.5
Elephant,Killer Whale,44.5,55.5,44.5
Flying Sword,Reef Shark,55.5,44.5,44.5
Flying Sword,Swarm of Ravens,44.5,55.5,44.5
Imp,Wolf,55.5,44.5,44.5
Mage,Warhorse,44.5,55.5,44.5
Axe Beak,Lizardfolk,44.4,55.6,44.4
Bandit,Noble,44.4,55.6,44.4
Bearded Devil,Black Dragon Wyrmling,55.6,44.4,44.4
Blue Dragon Wyrmling,Half-Red Dragon Veteran,44.4,55.6,44.4
Brown Bear,Warhorse Skeleton,55.6,44.4,44.4
Darkmantle,Spy,55.6,44.4,44.4
Darkmantle,Swarm of Ravens,44.4,55.6,44.4
Drow,Swarm of Bats,44.4,55.6,44.4
Ghast,Green Dragon Wyrmling,44.4,55.6,44.4
Giant Crocodile,Shield Guardian,55.6,44.4,44.4
Giant Sea Horse,Sahuagin,55.6,44.4,44.4
Giant Weasel,Skeleton,44.4,55.6,44.4
Assassin,Berserker,55.7,44.3,44.3
Black Pudding,Merrow,55.7,44.3,44.3
Bronze Dragon Wyrmling,Giant Octopus,44.3,55.7,44.3
Brown Bear,Worg,55.7,44.3,44.3
Bugbear,Will-o'-Wisp,55.7,44.3,44.3
Cockatrice,Giant Poisonous Snake,44.3,55.7,44.3
Crocodile,Flying Sword,55.7,44.3,44.3
Cult Fanatic,Swarm of Bats,55.7,44.3,44.3
Ettercap,Swarm of Poisonous Snakes,44.3,55.7,44.3
Flying Sword,Orc,44.3,55.7,44.3
Giant Bat,"Wererat, Rat Form",44.3,55.7,44.3
Giant Crab,Panther,55.7,44.3,44.3
Giant Eagle,Harpy,55.7,44.3,44.3
Giant Fire Beetle,Vulture,55.7,44.3,44.3
Giant Scorpion,Hell Hound,44.3,55.7,44.3
Giant Scorpion,Will-o'-Wisp,55.7,44.3,44.3
Gorgon,Roper,55.7,44.3,44.3
Grick,Warhorse Skeleton,55.7,44.3,44.3
Imp,Magma Mephit,55.7,44.3,44.3
Medusa,Silver Dragon Wyrmling,55.7,44.3,44.3
Satyr,Swarm of Wasps,55.7,44.3,44.3
Skeleton,Wolf,55.7,44.3,44.3
Tiger,Will-o'-Wisp,44.3,55.7,44.3
Aboleth,Young Black Dragon,44.2,55.8,44.2
Baboon,Jackal,55.8,44.2,44.2
Blood Hawk,Camel,55.8,44.2,44.2
Blood Hawk,Cultist,55.8,44.2,44.2
Bulette,Young Blue Dragon,44.2,55.8,44.2
Chuul,Gladiator,44.2,55.8,44.2
Cultist,Giant Badger,44.2,55.8,44.2
Dire Wolf,Hell Hound,55.8,44.2,44.2
Dire Wolf,Mimic,55.8,44.2,44.2
Ghoul,Lion,44.2,55.8,44.2
Giant Spider,Worg,44.2,55.8,44.2
Goat,Stirge,55.8,44.2,44.2
Mimic,Salamander,44.2,55.8,44.2
Rust Monster,Swarm of Spiders,44.2,55.8,44.2
Axe Beak,Giant Owl,44.1,55.9,44.1
Bearded Devil,Green Dragon Wyrmling,44.1,55.9,44.1
Gelatinous Cube,Giant Constrictor Snake,44.1,55.9,44.1
Ghoul,Rust Monster,55.9,44.1,44.1
Giant Frog,Panther,55.9,44.1,44.1
Goblin,Ice Mephit,44.1,55.9,44.1
Griffon,Mummy,55.9,44.1,44.1
Grimlock,Skeleton,44.1,55.9,44.1
Hippogriff,Swarm of Beetles,44.1,55.9,44.1
Imp,Magmin,55.9,44.1,44.1
Blink Dog,Giant Poisonous Snake,56.0,44.0,44.0
Boar,Quasit,56.0,44.0,44.0
Bronze Dragon Wyrmling,Mimic,56.0,44.0,44.0
Brown Bear,Wight,56.0,44.0,44.0
Chain Devil,Chimera,44.0,56.0,44.0
Doppelganger,Mummy,44.0,56.0,44.0
Draft Horse,Giant Eagle,56.0,44.0,44.0
Dryad,Giant Wolf Spider,44.0,56.0,44.0
Flying Sword,Gnoll,56.0,44.0,44.0
Ghost,"Wereboar, Boar Form",56.0,44.0,44.0
Ghoul,Orc,56.0,44.0,44.0
Giant Toad,Ochre Jelly,44.0,56.0,44.0
Gladiator,Rakshasa,56.0,44.0,44.0
Griffon,Sea Hag,44.0,56.0,44.0
Half-Red Dragon Veteran,Pegasus,56.0,44.0,44.0
Hobgoblin,Shadow,44.0,56.0,44.0
Orc,Thug,56.0,44.0,44.0
Rust Monster,Swarm of Beetles,44.0,56.0,44.0
Ape,Rust Monster,43.9,56.1,43.9
Chain Devil,Minotaur,56.1,43.9,43.9
Constrictor Snake,Sahuagin,56.1,43.9,43.9
Giant Goat,"Wererat, Human Form",43.9,56.1,43.9
Giant Lizard,Spy,43.9,56.1,43.9
Griffon,Succubus/Incubus,56.1,43.9,43.9
Hippogriff,Swarm of Spiders,43.9,56.1,43.9
Medusa,"Wereboar, Hybrid Form",56.1,43.9,43.9
Pony,Zombie,56.1,43.9,43.9
"Werewolf, Hybrid Form",Will-o'-Wisp,43.9,56.1,43.9
Adult Black Dragon,Adult Green Dragon,43.8,56.2,43.8
Black Pudding,Swarm of Quippers,56.2,43.8,43.8
Brass Dragon Wyrmling,Specter,43.8,56.2,43.8
Constrictor Snake,Drow,43.8,56.2,43.8
Dryad,Goblin,43.8,56.2,43.8
Elk,Scout,43.8,56.2,43.8
Giant Crab,Giant Wasp,56.2,43.8,43.8
Giant Rat (Diseased),Pseudodragon,56.2,43.8,43.8
Killer Whale,Xorn,56.2,43.8,43.8
Lizardfolk,Orc,43.8,56.2,43.8
Rust Monster,Thug,56.2,43.8,43.8
Succubus/Incubus,Veteran,43.8,56.2,43.8
Unicorn,Winter Wolf,43.8,56.2,43.8
Adult Silver Dragon,Iron Golem,56.3,43.7,43.7
Azer,Dire Wolf,43.7,56.3,43.7
Bandit,Giant Badger,56.3,43.7,43.7
Bandit Captain,Veteran,43.7,56.3,43.7
Brown Bear,White Dragon Wyrmling,43.7,56.3,43.7
Bugbear,Hell Hound,43.7,56.3,43.7
Clay Golem,Gynosphinx,43.7,56.3,43.7
Draft Horse,Warhorse,43.7,56.3,43.7
Fire Elemental,Red Dragon Wyrmling,56.3,43.7,43.7
Giant Elk,Saber-Toothed Tiger,56.3,43.7,43.7
Half-Red Dragon Veteran,"Wereboar, Boar Form",56.3,43.7,43.7
Hippogriff,Swarm of Centipedes,43.7,56.3,43.7
Nightmare,Red Dragon Wyrmling,43.7,56.3,43.7
Rhinoceros,Silver Dragon Wyrmling,56.3,43.7,43.7
Tiger,White Dragon Wyrmling,56.3,43.7,43.7
Triceratops,Young White Dragon,56.3,43.7,43.7
"Wereboar, Boar Form","Weretiger, Human Form",43.7,56.3,43.7
Bandit,Pony,43.6,56.4,43.6
Centaur,Salamander,56.4,43.6,43.6
Chuul,Oni,56.4,43.6,43.6
Giant Bat,Hippogriff,43.6,56.4,43.6
Giant Owl,Rust Monster,43.6,56.4,43.6
Gynosphinx,Lich,56.4,43.6,43.6
Lizardfolk,Rust Monster,43.6,56.4,43.6
Orc,Satyr,43.6,56.4,43.6
Priest,Wolf,56.4,43.6,43.6
Swarm of Wasps,Warhorse,56.4,43.6,43.6
"Wereboar, Boar Form","Wereboar, Hybrid Form",56.4,43.6,43.6
Ancient Gold Dragon,Ancient Red Dragon,56.5,43.5,43.5
Ape,Brass Dragon Wyrmling,43.5,56.5,43.5
Ape,Draft Horse,43.5,56.5,43.5
Barbed Devil,Winter Wolf,56.5,43.5,43.5
Bearded Devil,Swarm of Quippers,43.5,56.5,43.5
Bone Devil,Mummy Lord,43.5,56.5,43.5
Brown Bear,Tiger,43.5,56.5,43.5
Death Dog,Giant Spider,43.5,56.5,43.5
Draft Horse,Swarm of Wasps,43.5,56.5,43.5
Ghoul,Giant Eagle,43.5,56.5,43.5
Giant Badger,Imp,43.5,56.5,43.5
Giant Wasp,Magmin,56.5,43.5,43.5
Goblin,Pony,43.5,56.5,43.5
Mage,Specter,43.5,56.5,43.5
Magma Mephit,Sahuagin,43.5,56.5,43.5
Noble,Skeleton,43.5,56.5,43.5
Riding Horse,Swarm of Rats,43.5,56.5,43.5
Young Gold Dragon,Young Red Dragon,56.5,43.5,43.5
Animated Armor,Ghast,43.4,56.6,43.4
Ape,Ghoul,43.4,56.6,43.4
Axe Beak,Flying Sword,43.4,56.6,43.4
Basilisk,Veteran,43.4,56.6,43.4
Bugbear,Centaur,43.4,56.6,43.4
Constrictor Snake,Priest,43.4,56.6,43.4
Crocodile,Thug,43.4,56.6,43.4
Djinni,Young Green Dragon,56.6,43.4,43.4
Giant Elk,Gibbering Mouther,43.4,56.6,43.4
Giant Weasel,Zombie,43.4,56.6,43.4
Knight,Troll,43.4,56.6,43.4
Magma Mephit,Skeleton,43.4,56.6,43.4
Shambling Mound,Young Brass Dragon,43.4,56.6,43.4
Ancient Black Dragon,Ancient Green Dragon,56.7,43.3,43.3
Androsphinx,Cloud Giant,43.3,56.7,43.3
Animated Armor,Gargoyle,43.3,56.7,43.3
Archmage,Basilisk,43.3,56.7,43.3
Camel,Quasit,43.3,56.7,43.3
Couatl,Water Elemental,43.3,56.7,43.3
Dust Mephit,Priest,43.3,56.7,43.3
Elk,Hobgoblin,43.3,56.7,43.3
Ettercap,Wight,56.7,43.3,43.3
Flesh Golem,Invisible Stalker,43.3,56.7,43.3
Giant Eagle,Swarm of Wasps,56.7,43.3,43.3
Half-Red Dragon Veteran,Rhinoceros,56.7,43.3,43.3
Rakshasa,Wyvern,56.7,43.3,43.3
Saber-Toothed Tiger,Silver Dragon Wyrmling,43.3,56.7,43.3
Young Copper Dragon,Young White Dragon,43.3,56.7,43.3
Animated Armor,Warhorse Skeleton,56.8,43.2,43.2
Awakened Shrub,Deer,56.8,43.2,43.2
Awakened Tree,Barbed Devil,56.8,43.2,43.2
Berserker,Owlbear,43.2,56.8,43.2
Chimera,Elephant,43.2,56.8,43.2
Deva,Killer Whale,43.2,56.8,43.2
Doppelganger,Succubus/Incubus,43.2,56.8,43.2
Draft Horse,Satyr,43.2,56.8,43.2
Dretch,Noble,43.2,56.8,43.2
Gargoyle,Will-o'-Wisp,43.2,56.8,43.2
Gelatinous Cube,Sea Hag,56.8,43.2,43.2
Giant Boar,Giant Octopus,43.2,56.8,43.2
Giant Vulture,Lizardfolk,56.8,43.2,43.2
Gorgon,Mammoth,43.2,56.8,43.2
Hippogriff,Swarm of Ravens,56.8,43.2,43.2
Hobgoblin,Lizardfolk,43.2,56.8,43.2
Hobgoblin,Swarm of Rats,56.8,43.2,43.2
Hyena,Kobold,43.2,56.8,43.2
Ice Mephit,Imp,56.8,43.2,43.2
Triceratops,Young Green Dragon,43.2,56.8,43.2
Water Elemental,Xorn,56.8,43.2,43.2
Adult Gold Dragon,Adult Red Dragon,56.9,43.1,43.1
Azer,Black Pudding,43.1,56.9,43.1
Bulette,Young Bronze Dragon,56.9,43.1,43.1
Centaur,Polar Bear,56.9,43.1,43.1
Chuul,"Werebear, Human Form",56.9,43.1,43.1
Cultist,Dryad,43.1,56.9,43.1
Cultist,Giant Wolf Spider,43.1,56.9,43.1
Darkmantle,Giant Goat,56.9,43.1,43.1
Death Dog,Duergar,43.1,56.9,43.1
Dust Mephit,Skeleton,56.9,43.1,43.1
Lich,Triceratops,43.1,56.9,43.1
Panther,Riding Horse,43.1,56.9,43.1
Sea Hag,"Wereboar, Human Form",43.1,56.9,43.1
Silver Dragon Wyrmling,"Wereboar, Human Form",56.9,43.1,43.1
Animated Armor,Swarm of Poisonous Snakes,43.0,57.0,43.0
Bearded Devil,Bronze Dragon Wyrmling,43.0,57.0,43.0
Constrictor Snake,Magmin,57.0,43.0,43.0
Cult Fanatic,Hobgoblin,57.0,43.0,43.0
Gargoyle,Swarm of Poisonous Snakes,57.0,43.0,43.0
Gelatinous Cube,Owlbear,43.0,57.0,43.0
Ghoul,Swarm of Beetles,43.0,57.0,43.0
Giant Boar,Giant Scorpion,57.0,43.0,43.0
Giant Crab,Sahuagin,57.0,43.0,43.0
Giant Wasp,Panther,57.0,43.0,43.0
Green Dragon Wyrmling,Merrow,43.0,57.0,43.0
Grimlock,Ice Mephit,57.0,43.0,43.0
Hell Hound,Swarm of Quippers,57.0,43.0,43.0
Knight,"Weretiger, Hybrid Form",43.0,57.0,43.0
Sea Hag,Veteran,57.0,43.0,43.0
Assassin,"Wereboar, Human Form",57.1,42.9,42.9
Axe Beak,Hobgoblin,57.1,42.9,42.9
Berserker,Drider,57.1,42.9,42.9
Cloaker,Gold Dragon Wyrmling,57.1,42.9,42.9
Cloaker,Winter Wolf,57.1,42.9,42.9
Cockatrice,Scout,42.9,57.1,42.9
Crocodile,Darkmantle,57.1,42.9,42.9
Ettin,Minotaur,42.9,57.1,42.9
Flying Sword,Giant Bat,57.1,42.9,42.9
Giant Crab,Priest,42.9,57.1,42.9
Giant Frog,Gray Ooze,57.1,42.9,42.9
Giant Hyena,Polar Bear,57.1,42.9,42.9
Giant Vulture,Swarm of Ravens,42.9,57.1,42.9
Gray Ooze,Panther,57.1,42.9,42.9
Griffon,Hunter Shark,42.9,57.1,42.9
Thug,"Wererat, Human Form",42.9,57.1,42.9
Bone Devil,Giant Crocodile,57.2,42.8,42.8
Bulette,Marilith,42.8,57.2,42.8
Cockatrice,Wolf,57.2,42.8,42.8
Doppelganger,Griffon,42.8,57.2,42.8
Drow,Swarm of Rats,42.8,57.2,42.8
Dust Mephit,Scout,42.8,57.2,42.8
Earth Elemental,Hezrou,57.2,42.8,42.8
Ghoul,Mage,42.8,57.2,42.8
Ghoul,Swarm of Ravens,57.2,42.8,42.8
Giant Crocodile,Young Copper Dragon,42.8,57.2,42.8
Shadow,Spy,57.2,42.8,42.8
Swarm of Quippers,Will-o'-Wisp,57.2,42.8,42.8
Vrock,Wyvern,42.8,57.2,42.8
"Werebear, Human Form",Wraith,42.8,57.2,42.8
Animated Armor,"Werewolf, Wolf Form",42.7,57.3,42.7
Berserker,Rhinoceros,57.3,42.7,42.7
Black Bear,Priest,57.3,42.7,42.7
Eagle,Giant Centipede,57.3,42.7,42.7
Ettercap,Ochre Jelly,57.3,42.7,42.7
Ghoul,Thug,57.3,42.7,42.7
Giant Rat,Pseudodragon,57.3,42.7,42.7
Goblin,Gray Ooze,42.7,57.3,42.7
Ice Mephit,Skeleton,42.7,57.3,42.7
Pit Fiend,Solar,57.3,42.7,42.7
Swarm of Insects,Swarm of Wasps,57.3,42.7,42.7
"Wereboar, Hybrid Form","Weretiger, Human Form",42.7,57.3,42.7
Basilisk,Hunter Shark,42.6,57.4,42.6
Chain Devil,Rakshasa,57.4,42.6,42.6
